Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,ISSN,ISBN,CODEN,Document Type,Publication Stage,Access Type,Source,EID
"Lee C.-W., Huh U., You J.-H., Lee C.-S., Kim K.-H., Song C.-H., Wang J.-P., Ryu D.-M.","57190374789;55154818100;57205272001;23980513300;57205272483;57205271291;39763282300;56435501300;","Computational evaluation for age-dependent material nonlinear behavior of aortic wall tissue on abdominal aortic aneurysms",2018,"Applied Sciences (Switzerland)","9","1", 101,"","",,,"10.3390/app9010101","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85059344006&doi=10.3390%2fapp9010101&partnerID=40&md5=74cc671f5fa86f8d92dde4190f28ceb3",20763417,,,Article,"Final",Open Access,Scopus,2-s2.0-85059344006
"Kim T.U., Kim S.J., Ryu H., Kim J.H., Jeong H.S., Roh J., Yeom J.A., Park B.S., Kim D.I., Kim K.H.","55749063700;57201923992;57195456395;56915087400;57188549950;7102684066;57204537631;56514444300;56555544800;57207404674;","Gastric Tuberculosis Presenting as a Subepithelial Mass: A Rare Cause of Gastrointestinal Bleeding",2018,"The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi","72","6",,"304","307",,,"10.4166/kjg.2018.72.6.304","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85060021350&doi=10.4166%2fkjg.2018.72.6.304&partnerID=40&md5=a0eb756c50c94a8d60f0317127d729e1",22336869,,,Article,"Final",Open Access,Scopus,2-s2.0-85060021350
"Kim S.E., Kim N., Park S.M., Kim W.H., Baik G.H., Jo Y., Park K.S., Lee J.Y., Shim K.-N., Kim G.H., Lee B.E., Hong S.J., Park S.-Y., Choi S.C., Oh J.H., Kim H.J.","57189074365;57201181440;36069939000;55694016300;7801423477;8427613600;56903328900;55891683700;13604838300;35214772400;36461131900;56375162400;7501833800;7408119608;55730193900;57201620344;","Female Gender is a Poor Predictive Factor of Functional Dyspepsia Resolution after Helicobacter pylori Eradication: A Prospective, Multi-center Korean Trial",2018,"The Korean journal of gastroenterology = Taehan Sohwagi Hakhoe chi","72","6",,"286","294",,1,"10.4166/kjg.2018.72.6.286","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85060013859&doi=10.4166%2fkjg.2018.72.6.286&partnerID=40&md5=7e884099ac7212df8e31a3180b792fd9",22336869,,,Article,"Final",Open Access,Scopus,2-s2.0-85060013859
"Youn H.C., Lee S.I., Lee S.H., Kim J.-Y., Kim J.-H., Park E.J., Park J.S., Bhang S.-Y., Lee M.-S., Lee Y.J., Choi S.-C., Choi T.Y., Lee A.-R., Kim D.-J.","57044163800;37056878700;56442744300;57197736657;57196169890;56784918400;57205182423;26431739400;25932192700;57207015201;57205177724;55694739600;57205178747;57203012464;","Exploring the differences between adolescents' and parents' ratings on adolescents' smartphone addiction",2018,"Journal of Korean Medical Science","33","52", e347,"","",,1,"10.3346/jkms.2018.33.e347","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058921708&doi=10.3346%2fjkms.2018.33.e347&partnerID=40&md5=359d04017900c885ad3388a558654dec",10118934,,JKMSE,Article,"Final",Open Access,Scopus,2-s2.0-85058921708
"Kim Y.-J., Heo J.-Y., Hong K.-H., Hoseok I., Lim B.-Y., Lee C.-S.","57205197718;57204656194;57205193447;11739344200;57205198338;23980513300;","Computer-aided design and manufacturing technology for identification of optimal Nuss procedure and fabrication of patient-specific Nuss bar for minimally invasive surgery of pectus excavatum",2018,"Applied Sciences (Switzerland)","9","1", 42,"","",,1,"10.3390/app9010042","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85059027512&doi=10.3390%2fapp9010042&partnerID=40&md5=cf95fac5c89df9cbcd1580837f777827",20763417,,,Article,"Final",Open Access,Scopus,2-s2.0-85059027512
"Kwon S.G., Kwon Y.W., Lee T.W., Park G.T., Kim J.H.","57207130781;54789043300;57192365664;57193427026;35268883000;","Recent advances in stem cell therapeutics and tissue engineering strategies",2018,"Biomaterials Research","22","1", 36,"","",,2,"10.1186/s40824-018-0148-4","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058976376&doi=10.1186%2fs40824-018-0148-4&partnerID=40&md5=f7797637a739be1207daef0c94baf23e",20557124,,,Review,"Final",Open Access,Scopus,2-s2.0-85058976376
"Marcaida A.K., Nguyen T.H., Ahn J.","57203018333;57204362603;20435667700;","Investigation of particle-related clogging of sustainable concrete pavements",2018,"Sustainability (Switzerland)","10","12", 4845,"","",,,"10.3390/su10124845","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058701104&doi=10.3390%2fsu10124845&partnerID=40&md5=27cf51f41f347e55870aac8378570dbd",20711050,,,Article,"Final",Open Access,Scopus,2-s2.0-85058701104
"Bang E., Noh S.-G., Ha S., Jung H.J., Kim D.H., Lee A.K., Hyun M.K., Kang D., Lee S., Park C., Moon H.R., Chung H.Y.","57200299991;57194782697;57194690138;57201974430;57192665807;57203928185;57203931222;57202438565;57202433264;57202435277;7402662455;7404006848;","Evaluation of the novel synthetic tyrosinase inhibitor (z)-3-(3-bromo-4-hydroxybenzylidene) thiochroman-4-one (MHY1498) In vitro and in silico",2018,"Molecules","23","12", 3307,"","",,,"10.3390/molecules23123307","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058943766&doi=10.3390%2fmolecules23123307&partnerID=40&md5=84f0bab31566ef61be9151543c54df9e",14203049,,MOLEF,Article,"Final",Open Access,Scopus,2-s2.0-85058943766
"Mok J., An D., Kim S., Lee M., Kim C., Son H.","20735374900;57205098035;57205105103;57205097794;57203626040;57203048631;","Treatment outcomes and factors affecting treatment outcomes of new patients with tuberculosis in Busan, South Korea: A retrospective study of a citywide registry, 2014-2015",2018,"BMC Infectious Diseases","18","1", 655,"","",,1,"10.1186/s12879-018-3574-y","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058564857&doi=10.1186%2fs12879-018-3574-y&partnerID=40&md5=a7bda1db95acb50f9429189815090c5c",14712334,,BIDMB,Review,"Final",Open Access,Scopus,2-s2.0-85058564857
"Oh H.J., An J.N., Oh S., Rhee H., Lee J.P., Kim D.K., Ryu D.-R., Kim S.","57200049348;55286660300;55509767900;25951613200;56028990400;23479259100;56669926200;36068539400;","VolumE maNagement under body composition monitoring in critically ill patientS on CRRT: Study protocol for a randomized controlled trial (VENUS trial)",2018,"Trials","19","1", 681,"","",,,"10.1186/s13063-018-3056-y","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85058607030&doi=10.1186%2fs13063-018-3056-y&partnerID=40&md5=5eee0ed3c9f89c07e8ed60716fd5515d",17456215,,,Article,"Final",Open Access,Scopus,2-s2.0-85058607030
