Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,ISSN,ISBN,CODEN,Document Type,Publication Stage,Access Type,Source,EID
"Park K., Kim J., Lee J.","56344592000;57189854813;56031087100;","Author Correction: Visual Field Prediction using Recurrent Neural Network (Scientific Reports, (2019), 9, 1, (8385), 10.1038/s41598-019-44852-6)",2019,"Scientific Reports","9","1", 13173,"","",,,"10.1038/s41598-019-49490-6","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071774941&doi=10.1038%2fs41598-019-49490-6&partnerID=40&md5=62ac86dc63ec097672e92b2286bd7f3b",20452322,,,Erratum,"Final",Open Access,Scopus,2-s2.0-85071774941
"Park K., Kim J., Lee J.","56344592000;57189854813;56031087100;","Visual Field Prediction using Recurrent Neural Network",2019,"Scientific Reports","9","1", 8385,"","",,,"10.1038/s41598-019-44852-6","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85067196707&doi=10.1038%2fs41598-019-44852-6&partnerID=40&md5=80e6fc8b2ecc3523b0d6ef2b0922998a",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85067196707
"Lee H.-Y., Lee H.-J., Kim G.-C., Choi J.-H., Hong J.-W.","57192553986;7501480766;7403064124;47860988100;56563340500;","Plasma cupping induces VEGF expression in skin cells through nitric oxide-mediated activation of hypoxia inducible factor 1",2019,"Scientific Reports","9","1", 3821,"","",,1,"10.1038/s41598-019-40086-8","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85062598675&doi=10.1038%2fs41598-019-40086-8&partnerID=40&md5=6badd48a302291c5fce134c6029d7316",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85062598675
"Lee M.J., Kang J.-R., Park S.-H.","56142341700;7404517758;16234340000;","Blow-up of solution for quasilinear viscoelastic wave equation with boundary nonlinear damping and source terms",2019,"Boundary Value Problems","2019","1", 67,"","",,,"10.1186/s13661-019-1180-6","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85064007228&doi=10.1186%2fs13661-019-1180-6&partnerID=40&md5=f84107e750753acd1e30dab638158760",16872762,,,Article,"Final",Open Access,Scopus,2-s2.0-85064007228
"Bae J., Jeong I., Lee S.","57207116869;57207102606;55940769600;","Wavelength-dependent Optical Instability Mechanisms and Decay Kinetics in Amorphous Oxide Thin-Film Devices",2019,"Scientific Reports","9","1", 2920,"","",,,"10.1038/s41598-019-39744-8","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85062207995&doi=10.1038%2fs41598-019-39744-8&partnerID=40&md5=125a877136f6c879c2ff51e7efde4671",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85062207995
"Kim S.U., Ruangcharus C., Kumar S., Lee H.H., Park H.J., Jung E.S., Hong C.O.","56765407100;57207189911;57208292164;57195332229;23480181600;57186176000;16233529900;","Nitrous oxide emission from upland soil amended with different animal manures",2019,"Applied Biological Chemistry","62","1", 8,"","",,2,"10.1186/s13765-019-0409-5","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85062277113&doi=10.1186%2fs13765-019-0409-5&partnerID=40&md5=cb95e4776c631ce77409e474cc2b6c2a",24680834,,,Article,"Final",Open Access,Scopus,2-s2.0-85062277113
"Lee H.-J., Seo K.-H.","57191259303;7201839229;","Impact of the Madden-Julian oscillation on Antarctic sea ice and its dynamical mechanism",2019,"Scientific Reports","9","1", 10761,"","",,,"10.1038/s41598-019-47150-3","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85069723640&doi=10.1038%2fs41598-019-47150-3&partnerID=40&md5=cd3591ce2a6f148eb3566eae68caf260",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85069723640
"Kim H., Kwon O., Moon H.S.","12754075800;36833153500;7402662469;","Pulsed Sagnac source of polarization-entangled photon pairs in telecommunication band",2019,"Scientific Reports","9","1", 5031,"","",,,"10.1038/s41598-019-41633-z","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85063318934&doi=10.1038%2fs41598-019-41633-z&partnerID=40&md5=469dc8f8779834a0da3c18ba8617c07d",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85063318934
"Park S.G., Lee M.C., Tak H.J., Ko J.S.","57208567023;55817168800;57202059972;7402678419;","Analysis of force and impulse of a hydrophobic rod rotating into water",2019,"Micro and Nano Systems Letters","7","1", 1,"","",,,"10.1186/s40486-019-0080-y","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85065133324&doi=10.1186%2fs40486-019-0080-y&partnerID=40&md5=4fad2ff3c87d132fb387e7e09a54ff90",22139621,,,Letter,"Final",Open Access,Scopus,2-s2.0-85065133324
"Kim I., Song H., Kim C., Kim M., Kyhm K., Kim K., Oh J.-W.","37037632900;56459263600;56015971500;57205553904;6601972916;35290573900;12446035800;","Intermolecular distance measurement with TNT suppressor on the M13 bacteriophage-based Förster resonance energy transfer system",2019,"Scientific Reports","9","1", 496,"","",,,"10.1038/s41598-018-36990-0","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85060527926&doi=10.1038%2fs41598-018-36990-0&partnerID=40&md5=35186278b58eb2341d6daf2afea602b7",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85060527926
