Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,ISSN,ISBN,CODEN,Document Type,Publication Stage,Access Type,Source,EID
"Lee S.-B., Kim N., Hur Y.-J., Cho S.-M., Kim T.-H., Lee J.-Y., Cho J.-H., Lee J.-H., Song Y.-C., Seo Y.-S., Ko J.-M., Park D.-S.","56512821400;57191591502;16202868100;57208834012;56181748900;57208840249;49663022700;56512748200;54682372300;15063420800;57208839064;57208837913;","Fine mapping of qBK1, a major QTL for bakanae disease resistance in rice",2019,"Rice","12","1", 36,"","",,,"10.1186/s12284-019-0295-9","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85065917438&doi=10.1186%2fs12284-019-0295-9&partnerID=40&md5=8d82575f0adcf55fc7ad134bd43b8730",19398425,,,Article,"Final",Open Access,Scopus,2-s2.0-85065917438
"Nnyigide O.S., Lee S.-G., Hyun K.","57189051373;35490995300;24767294900;","In Silico Characterization of the Binding Modes of Surfactants with Bovine Serum Albumin",2019,"Scientific Reports","9","1", 10643,"","",,,"10.1038/s41598-019-47135-2","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85069701328&doi=10.1038%2fs41598-019-47135-2&partnerID=40&md5=2da19302a1862f588572afb35c72a135",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85069701328
"Kim E.-Y., Chung T.-W., Han C.W., Park S.Y., Park K.H., Jang S.B., Ha K.-T.","56802956000;56803133900;57207338531;57190672269;34977231400;7402219019;7102262033;","A Novel Lactate Dehydrogenase Inhibitor, 1-(Phenylseleno)-4-(Trifluoromethyl) Benzene, Suppresses Tumor Growth through Apoptotic Cell Death",2019,"Scientific Reports","9","1", 3969,"","",,1,"10.1038/s41598-019-40617-3","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85062590622&doi=10.1038%2fs41598-019-40617-3&partnerID=40&md5=602e15d3a29fc48650a4b8157aacc9db",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85062590622
"Nam H.S., Choi C.W., Kim S.J., Kim H.W., Kang D.H., Park S.B., Ryu D.G.","56799876600;23767088600;57201923992;56231863100;23090971800;57195223284;12778643100;","Risk factors for delayed bleeding by onset time after endoscopic submucosal dissection for gastric neoplasm",2019,"Scientific Reports","9","1", 2674,"","",,,"10.1038/s41598-019-39381-1","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85062103197&doi=10.1038%2fs41598-019-39381-1&partnerID=40&md5=069a79d774a3b5bdb1c1f292f8ebf20c",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85062103197
"Khan T., Jung I.H., Zaman G.","57190246047;57208272379;35750924900;","A stochastic model for the transmission dynamics of hepatitis B virus",2019,"Journal of biological dynamics","13","1",,"328","344",,1,"10.1080/17513758.2019.1600750","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85064325413&doi=10.1080%2f17513758.2019.1600750&partnerID=40&md5=bca7a76370feddbefd24b240f107689e",17513766,,,Article,"Final",Open Access,Scopus,2-s2.0-85064325413
"Kang S.A., Park M.-K., Park S.K., Choi J.H., Lee D.I., Song S.M., Yu H.S.","26638218700;56693423800;55308862700;56808388300;57191997483;57205713758;7405854861;","Adoptive transfer of Trichinella spiralis-activated macrophages can ameliorate both Th1- and Th2-activated inflammation in murine models",2019,"Scientific Reports","9","1", 6547,"","",,1,"10.1038/s41598-019-43057-1","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85064922773&doi=10.1038%2fs41598-019-43057-1&partnerID=40&md5=eee1437b894e57bab4d5b8d857201fda",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85064922773
"Yang R., Fang Z.B.","56018723000;15730886800;","A general decay result for a semilinear heat equation with past and finite history memories",2019,"Boundary Value Problems","2019","1", 32,"","",,,"10.1186/s13661-019-1150-z","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85061391319&doi=10.1186%2fs13661-019-1150-z&partnerID=40&md5=e8dfbd2628becf1ac85e60b7479fb43b",16872762,,,Article,"Final",Open Access,Scopus,2-s2.0-85061391319
"Lee H.H., Heo D.Y., Han H.R., Park Y.L., Ruangcharus C., Kim S.U., Seo D.C., Oh T.-K., Hong C.O.","57195332229;57210920406;57210912624;57210910897;57207189911;56765407100;57210858109;57210913801;57199842383;","Evaluation of the effects of mandarin (Citrus reticulate) by-products containing citric acid on immobilization of cadmium in arable soils",2019,"Applied Biological Chemistry","62","1", 45,"","",,,"10.1186/s13765-019-0452-2","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071857836&doi=10.1186%2fs13765-019-0452-2&partnerID=40&md5=e4a0a32f7ff7f71d33f5eebeac40299c",24680834,,,Article,"Final",Open Access,Scopus,2-s2.0-85071857836
"Choi T.-H., Do S.-M., Jeon B.-G., Shin S.T., Yoon T.-H.","55990884100;57203713741;57194762429;7403647195;7201604366;","Formation of Polymer Walls through the Phase Separation of a Liquid Crystal Mixture Induced by a Spatial Elastic Energy Difference",2019,"Scientific Reports","9","1", 10288,"","",,,"10.1038/s41598-019-46810-8","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85069043208&doi=10.1038%2fs41598-019-46810-8&partnerID=40&md5=552b684102c35c79d8fbf6a30f8bdb08",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85069043208
"Choe W.-S., Song W.H., Jeong C.W., Choi E.-K., Oh S.","54585084400;57193206730;8879131000;35558194200;8552086700;","Anatomic Conformation of Renal Sympathetic Nerve Fibers in Living Human Tissues",2019,"Scientific Reports","9","1", 4831,"","",,,"10.1038/s41598-019-41159-4","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85063198047&doi=10.1038%2fs41598-019-41159-4&partnerID=40&md5=dd224aa7368c79d92bfda7563e14946d",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85063198047
"Kim S.H., Kim M., Um M.S., Choi W.J., Lee J.H., Yang Y.S., Lee S.-J.","57194115935;53869095800;57189029212;56482626400;36065940000;56997783800;55870807900;","Effects of carbon concentration on high-hardness plasma-polymer-fluorocarbon film deposited by mid-range frequency sputtering",2019,"Scientific Reports","9","1", 10664,"","",,,"10.1038/s41598-019-46993-0","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85069655441&doi=10.1038%2fs41598-019-46993-0&partnerID=40&md5=c7f1c11d992169c841bfb33091ba6526",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85069655441
"Kim G.H., Park S.M., Park C.H., Jang H., Kim C.-S., Lee H.D.","56701408600;57209511632;57193741368;57193491756;35427654900;35189121000;","Real-time quasi-distributed fiber optic sensor based on resonance frequency mapping",2019,"Scientific Reports","9","1", 3921,"","",,1,"10.1038/s41598-019-40472-2","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85062608659&doi=10.1038%2fs41598-019-40472-2&partnerID=40&md5=eaf14761c8674a1cb6b690177d031596",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85062608659
"Kim D.S., Dolgy D.V., Kim D., Kim T.","57201849787;46461119600;57206696832;57208461576;","Some identities on r-central factorial numbers and r-central Bell polynomials",2019,"Advances in Difference Equations","2019","1", 245,"","",,,"10.1186/s13662-019-2195-0","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85067943921&doi=10.1186%2fs13662-019-2195-0&partnerID=40&md5=0b357ce73023aabd3056015126692cc4",16871839,,,Article,"Final",Open Access,Scopus,2-s2.0-85067943921
"Kim T., Kim D.S., Dolgy D.V., Kim D.","7407121103;57201849787;46461119600;57206696832;","Representation by several orthogonal polynomials for sums of finite products of Chebyshev polynomials of the first, third and fourth kinds",2019,"Advances in Difference Equations","2019","1", 110,"","",,2,"10.1186/s13662-019-2058-8","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85063165112&doi=10.1186%2fs13662-019-2058-8&partnerID=40&md5=292332ffacc5bd1c248adfe649f2ddae",16871839,,,Article,"Final",Open Access,Scopus,2-s2.0-85063165112
"Kim H., Lee S., Kim H.","57202103944;36066691800;56454650600;","Electrical Heating Performance of Electro-Conductive Para-aramid Knit Manufactured by Dip-Coating in a Graphene/Waterborne Polyurethane Composite",2019,"Scientific Reports","9","1", 1511,"","",,2,"10.1038/s41598-018-37455-0","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85061083218&doi=10.1038%2fs41598-018-37455-0&partnerID=40&md5=2b1d2583085b1660e77777404e96511e",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85061083218
"Lee J., Lee T., Mun D.-J., Bae C.M., Lee C.S.","55326528800;56609479100;36101608400;7005257572;56100904400;","Comparative study on the effects of Cr, V, and Mo carbides for hydrogen-embrittlement resistance of tempered martensitic steel",2019,"Scientific Reports","9","1", 5219,"","",,,"10.1038/s41598-019-41436-2","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85063539760&doi=10.1038%2fs41598-019-41436-2&partnerID=40&md5=df930732da4fb1181899c35f08ee284d",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85063539760
"Olson R., An S.-I., Fan Y., Chang W., Evans J.P., Lee J.-Y.","55026747900;7203025162;15842813400;55813857400;7407663749;55029613600;","A novel method to test non-exclusive hypotheses applied to Arctic ice projections from dependent models",2019,"Nature Communications","10","1", 3016,"","",,,"10.1038/s41467-019-10561-x","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85068759539&doi=10.1038%2fs41467-019-10561-x&partnerID=40&md5=6f93ed481be7f9b225b0981942e09fbd",20411723,,,Article,"Final",Open Access,Scopus,2-s2.0-85068759539
"Shaikh S.F., Ghule B.G., Nakate U.T., Shinde P.V., Ekar S.U., O’Dwyer C., Kim K.H., Mane R.S.","56386846700;57193310856;55319530200;57195642015;56605117800;57209708606;57209104107;26643379100;","Author Correction: Low-Temperature Ionic Layer Adsorption and Reaction Grown Anatase TiO2 Nanocrystalline Films for Efficient Perovskite Solar Cell and Gas Sensor Applications (Scientific Reports, (2018), 8, 1, (11016), 10.1038/s41598-018-29363-0)",2019,"Scientific Reports","9","1", 8432,"","",,,"10.1038/s41598-019-43987-w","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85066474911&doi=10.1038%2fs41598-019-43987-w&partnerID=40&md5=12168b19ade9cff7522d7ced2164c5ec",20452322,,,Erratum,"Final",Open Access,Scopus,2-s2.0-85066474911
"Kwon S.M., Hwang J.J., Jung Y.-H., Cho B.-H., Lee K.-J., Hwang C.-J., Choi S.-H.","57207740527;57210207777;36130221300;26643850900;8069969700;7403387744;57193721264;","Similarity index for intuitive assessment of three-dimensional facial asymmetry",2019,"Scientific Reports","9","1", 10959,"","",,,"10.1038/s41598-019-47477-x","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85069944699&doi=10.1038%2fs41598-019-47477-x&partnerID=40&md5=9f423bf4ac36834f8ee4ee2f267a901a",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85069944699
"Park J., Cho Y.-H., Shin W.-J., Lee S.-K., Lee J.H., Kim T., Cha P.-H., Yang J.S., Cho J., Min D.S., Han G., Lee H.-Y., Choi K.-Y.","57196405501;55951583500;56149397600;57203597190;57190279371;57205555400;55981397000;56760513000;56783383900;7201670349;7202923442;57049822900;7403949379;","A Ras destabilizer KYA1797K overcomes the resistance of EGFR tyrosine kinase inhibitor in KRAS-mutated non-small cell lung cancer",2019,"Scientific Reports","9","1", 648,"","",,4,"10.1038/s41598-018-37059-8","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85060531727&doi=10.1038%2fs41598-018-37059-8&partnerID=40&md5=46d5724cf3bcee8159011e0ecc70b1d8",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85060531727
"Nguyen N.H., Ainala S.K., Zhou S., Park S.","57204597111;55372933300;55206527000;56423837600;","A novel 3-hydroxypropionic acid-inducible promoter regulated by the LysR-type transcriptional activator protein MmsR of Pseudomonas denitrificans",2019,"Scientific Reports","9","1", 5333,"","",,1,"10.1038/s41598-019-41785-y","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85063880320&doi=10.1038%2fs41598-019-41785-y&partnerID=40&md5=cd04e4932242cb237bcfa4ccff530817",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85063880320
"Il Ahn S., Kim Y.W., Lee S.E., Kim M., Choi K.-K., Park J.-C.","57195960527;57192417448;9234814400;57207953513;7403949535;8520834000;","Graphene-coated microballs for a hyper-sensitive vacuum sensor",2019,"Scientific Reports","9","1", 4910,"","",,1,"10.1038/s41598-019-41413-9","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85063332280&doi=10.1038%2fs41598-019-41413-9&partnerID=40&md5=940a0e2be5498b947f3baa3ae6dc5f3d",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85063332280
"Jeong W.-J., Park J.-C., Kim W.-S., Ro E.J., Jeon S.H., Lee S.-K., Park Y.N., Min D.S., Choi K.-Y.","16678844000;55183524700;57205469815;55981676600;56643208100;57203597190;55551647600;7201670349;7403949379;","WDR76 is a RAS binding protein that functions as a tumor suppressor via RAS degradation",2019,"Nature Communications","10","1", 295,"","",,3,"10.1038/s41467-018-08230-6","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85060128007&doi=10.1038%2fs41467-018-08230-6&partnerID=40&md5=2c4402f835eb38a9c608a7c3397894f8",20411723,,,Article,"Final",Open Access,Scopus,2-s2.0-85060128007
"Ahn J., Jo I., Kang S.-M., Hong S., Kim S., Jeong S., Kim Y.-H., Park B.-J., Ha N.-C.","56727175400;56078901900;57189647328;57196424522;57210580832;57208235957;57210589909;7402834441;7005674962;","Structural basis for lamin assembly at the molecular level",2019,"Nature Communications","10","1", 3757,"","",,,"10.1038/s41467-019-11684-x","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071046238&doi=10.1038%2fs41467-019-11684-x&partnerID=40&md5=bc939d3e35d7dde015d954f1dec6e9a3",20411723,,,Article,"Final",Open Access,Scopus,2-s2.0-85071046238
"Li O.L., Shi Z., Lee H., Ishizaki T.","55262110600;57210891600;56394983000;7202603483;","Enhanced Electrocatalytic Stability of Platinum Nanoparticles Supported on Sulfur-Doped Carbon using in-situ Solution Plasma",2019,"Scientific Reports","9","1", 12704,"","",,,"10.1038/s41598-019-49194-x","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85071770928&doi=10.1038%2fs41598-019-49194-x&partnerID=40&md5=d7b24bc1a4bdf4b065927d55afdb3132",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85071770928
"Song K.-H., Kwak C.-H., Chung T.-W., Ha S.-H., Park J.-Y., Ha K.-T., Cho S.-H., Lee Y.-C., Kim C.-H.","56421049200;56715132000;56803133900;56714733200;57206477334;7102262033;7404884501;36067817200;7409877266;","Intestine specific regulation of pig cytidine-5′-monophospho-N -acetylneuraminic acid hydroxylase gene for N-glycolylneuraminic acid biosynthesis",2019,"Scientific Reports","9","1", 4292,"","",,,"10.1038/s41598-019-40522-9","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85062846575&doi=10.1038%2fs41598-019-40522-9&partnerID=40&md5=e281f31a12dc509073d997eddf84adb5",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85062846575
"Kim Y.E., Park W.S., Ahn S.Y., Sung D.K., Sung S.I., Kim J.H., Chang Y.S.","57204711843;55664488700;50060961300;16023186200;55270548900;35268883000;14041061300;","WKYMVm hexapeptide, a strong formyl peptide receptor 2 agonist, attenuates hyperoxia-induced lung injuries in newborn mice",2019,"Scientific Reports","9","1", 6815,"","",,,"10.1038/s41598-019-43321-4","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85065158427&doi=10.1038%2fs41598-019-43321-4&partnerID=40&md5=002592c013e1374901e14bc55fba927c",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85065158427
"Kim Y.W., Lee C.-H., Hwang H.-G., Kim Y.-I., Kim D.K., Oh Y.-M., Lee S.H., Kim K.U., Lee S.-D.","56120151600;56150043400;55653757700;8709953300;14060371000;7402125922;57200928250;23028344500;7601408083;","Resting hyperinflation and emphysema on the clinical course of COPD",2019,"Scientific Reports","9","1", 3764,"","",,,"10.1038/s41598-019-40411-1","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85062583287&doi=10.1038%2fs41598-019-40411-1&partnerID=40&md5=4ddd0593637e8e212a77235ece1b9582",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85062583287
"Barja S., Refaely-Abramson S., Schuler B., Qiu D.Y., Pulkin A., Wickenburg S., Ryu H., Ugeda M.M., Kastl C., Chen C., Hwang C., Schwartzberg A., Aloni S., Mo S.-K., Frank Ogletree D., Crommie M.F., Yazyev O.V., Louie S.G., Neaton J.B., Weber-Bargioni A.","35727506000;49861957500;55356143500;55639495400;53464140800;35331120800;54882191500;9838809700;55360559300;57210210872;26532794000;6603952914;6603637799;7004957768;8964052200;6701913944;8443959700;57208764467;7006720133;15847218800;","Identifying substitutional oxygen as a prolific point defect in monolayer transition metal dichalcogenides",2019,"Nature Communications","10","1", 3382,"","",,3,"10.1038/s41467-019-11342-2","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85069942165&doi=10.1038%2fs41467-019-11342-2&partnerID=40&md5=73ae47a1a00ff42fe04adc9b92e1df7a",20411723,,,Article,"Final",Open Access,Scopus,2-s2.0-85069942165
"Jung M.-C., Matsuyama A., Kobori S., Maeng I., Lee Y.M., Song M., Jin S.-H., Nakamura M.","24373657800;57205390073;57205390357;15846302800;56115884400;24315254200;57210163476;57201867046;","Clean interface without any intermixed state between ultra-thin P3 polymer and CH3NH3PbI3 hybrid perovskite thin film",2019,"Scientific Reports","9","1", 10853,"","",,,"10.1038/s41598-019-47252-y","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85069748876&doi=10.1038%2fs41598-019-47252-y&partnerID=40&md5=c8408295d4586180f9afeca16eea30fa",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85069748876
"Shim K., Lee W.-C., Heo Y.-U., Shahabuddin M., Park M.-S., Hossain M.S.A., Kim J.H.","57188659111;57190035227;23018383600;22235442000;56479655700;55050121600;35215131600;","Rationally designed bimetallic Au@Pt nanoparticles for glucose oxidation",2019,"Scientific Reports","9","1", 894,"","",,2,"10.1038/s41598-018-36759-5","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85060753998&doi=10.1038%2fs41598-018-36759-5&partnerID=40&md5=7db746d11ca61b48693459a101923898",20452322,,,Article,"Final",Open Access,Scopus,2-s2.0-85060753998
"Han S., Ortmann L., Kim H., Kim Y.W., Oka T., Chacon A., Doran B., Ciappina M., Lewenstein M., Kim S.-W., Kim S., Landsman A.S.","57210319274;57079015700;56273195300;57191480202;57210323390;7003883542;24467256800;6602396169;57202636065;7601597069;57206876073;55341694400;","Extraction of higher-order nonlinear electronic response in solids using high harmonic generation",2019,"Nature Communications","10","1", 3272,"","",,,"10.1038/s41467-019-11096-x","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85070290724&doi=10.1038%2fs41467-019-11096-x&partnerID=40&md5=7f8b38e9c192c45e1dac1a025a325fc9",20411723,,,Article,"Final",Open Access,Scopus,2-s2.0-85070290724
"Yao W., Kang Y.-J., Park S.-G., Li O.L., Cho Y.-R.","56797291800;57208227823;57210251330;55262110600;7404469735;","Development of a robust, self-cleaning, amphiphobic, and electrically conductive coating on a flexible polymer substrate",2019,"Materials and Design","182",, 108023,"","",,,"10.1016/j.matdes.2019.108023","https://www2.scopus.com/inward/record.uri?eid=2-s2.0-85069693034&doi=10.1016%2fj.matdes.2019.108023&partnerID=40&md5=70672dc84cda960310ac943d2f1a195a",02641275,,,Article,"Final",Open Access,Scopus,2-s2.0-85069693034
